国家/地区,点击次数,展示,点击率,排名
美国,60,6329,0.95%,9.38
加拿大,24,937,2.56%,8.72
中国香港,4,49,8.16%,5.43
澳大利亚,3,198,1.52%,9.12
意大利,3,143,2.1%,7.55
荷兰,3,132,2.27%,8.2
罗马尼亚,3,40,7.5%,6.97
丹麦,3,36,8.33%,7.81
印度,2,270,0.74%,9.99
法国,2,160,1.25%,7.64
菲律宾,2,123,1.63%,9.48
瑞典,2,65,3.08%,7.28
以色列,2,58,3.45%,9.52
泰国,2,43,4.65%,8.19
挪威,2,37,5.41%,8.38
德国,1,206,0.49%,8.67
新加坡,1,142,0.7%,7.52
墨西哥,1,137,0.73%,7.43
哥伦比亚,1,83,1.2%,7.28
比利时,1,68,1.47%,7.65
斯洛文尼亚,1,32,3.12%,9.03
芬兰,1,24,4.17%,7.54
克罗地亚,1,19,5.26%,8.74
立陶宛,1,15,6.67%,5.67
塞尔维亚,1,10,10%,7.1
格鲁吉亚,1,10,10%,7.8
黎巴嫩,1,6,16.67%,5
巴西,0,421,0%,6.52
英国,0,363,0%,11.28
西班牙,0,162,0%,7.64
印度尼西亚,0,161,0%,7.38
日本,0,116,0%,6.9
阿根廷,0,113,0%,6.27
韩国,0,97,0%,8.25
越南,0,93,0%,7.75
土耳其,0,80,0%,7.99
中国,0,75,0%,6.08
马来西亚,0,75,0%,7.56
波兰,0,69,0%,7.83
瑞士,0,65,0%,7.85
厄瓜多尔,0,61,0%,7.46
阿拉伯联合酋长国,0,54,0%,7.11
葡萄牙,0,52,0%,7.48
秘鲁,0,51,0%,7.2
孟加拉,0,49,0%,9
台湾,0,48,0%,9.04
智利,0,46,0%,6.91
奥地利,0,45,0%,8.18
捷克,0,41,0%,7.22
埃及,0,36,0%,11.11
沙特阿拉伯,0,35,0%,8.8
希腊,0,35,0%,9.17
乌克兰,0,34,0%,7.24
摩洛哥,0,32,0%,9.62
新西兰,0,29,0%,23.72
匈牙利,0,28,0%,7.11
斯洛伐克,0,27,0%,7.04
阿尔及利亚,0,27,0%,9.48
巴基斯坦,0,25,0%,9.96
多米尼加共和国,0,24,0%,7.71
爱尔兰,0,24,0%,8.21
俄罗斯,0,22,0%,13.18
南非,0,19,0%,11.53
委内瑞拉,0,17,0%,6.65
保加利亚,0,17,0%,8.18
巴拿马,0,17,0%,8.29
波多黎各,0,15,0%,7.2
危地马拉,0,14,0%,4.93
乌拉圭,0,14,0%,6.71
白俄罗斯,0,14,0%,8.79
尼泊尔,0,14,0%,9.43
塞浦路斯,0,14,0%,11.57
牙买加,0,13,0%,5.31
波斯尼亚和黑塞哥维那,0,13,0%,8.15
尼日利亚,0,13,0%,10.23
约旦,0,12,0%,4.42
洪都拉斯,0,12,0%,5.75
卢森堡,0,12,0%,6.33
塞舌尔,0,12,0%,8.67
埃塞俄比亚,0,12,0%,9
蒙古,0,11,0%,7.64
伊拉克,0,11,0%,8.64
爱沙尼亚,0,10,0%,6.6
阿尔巴尼亚,0,10,0%,7.4
哥斯达黎加,0,9,0%,5.11
拉脱维亚,0,9,0%,6.89
哈萨克斯坦,0,9,0%,7.11
加纳,0,9,0%,8.22
卡塔尔,0,8,0%,6.12
冰岛,0,8,0%,8.88
阿曼,0,8,0%,11.12
萨尔瓦多,0,7,0%,5.57
马其顿,0,7,0%,5.86
柬埔寨,0,7,0%,9.29
巴哈马,0,6,0%,6.5
突尼斯,0,6,0%,7.5
伊朗,0,5,0%,4.2
巴拉圭,0,5,0%,4.4
澳门,0,5,0%,5
特立尼达和多巴哥,0,5,0%,6.4
安提瓜和巴布达,0,5,0%,8.8
乌兹别克斯坦,0,5,0%,10.4
巴林,0,5,0%,12.8
未知地区,0,4,0%,5.25
斯里兰卡,0,4,0%,5.5
文莱,0,4,0%,6
巴巴多斯,0,4,0%,8.25
塞内加尔,0,4,0%,8.5
科威特,0,4,0%,8.75
肯尼亚,0,4,0%,10
阿塞拜疆,0,4,0%,12.25
老挝,0,4,0%,13.5
马尔代夫,0,3,0%,4.67
玻利维亚,0,3,0%,5
亚美尼亚,0,3,0%,7.67
圣卢西亚,0,3,0%,7.67
摩尔多瓦,0,3,0%,7.67
阿鲁巴,0,3,0%,8.33
卢旺达,0,3,0%,8.33
叙利亚,0,3,0%,9
坦桑尼亚,0,3,0%,9.33
黑山,0,3,0%,10.33
缅甸,0,3,0%,11.67
库拉索,0,2,0%,1.5
瓜德罗普,0,2,0%,3
毛里求斯,0,2,0%,3.5
关岛,0,2,0%,4.5
尼加拉瓜,0,2,0%,4.5
科索沃,0,2,0%,6
安道尔,0,2,0%,6.5
直布罗陀,0,2,0%,6.5
利比亚,0,2,0%,8
喀麦隆,0,2,0%,8.5
古巴,0,2,0%,9
科特迪瓦,0,2,0%,9.5
安哥拉,0,1,0%,1
荷属圣马丁岛,0,1,0%,1
索马里,0,1,0%,2
法罗群岛,0,1,0%,4
阿富汗,0,1,0%,5
吉尔吉斯斯坦,0,1,0%,5
巴勒斯坦,0,1,0%,5
圣基茨和尼维斯,0,1,0%,6
留尼汪岛,0,1,0%,6
圣文森特和格林纳丁斯,0,1,0%,6
百慕大,0,1,0%,7
海地,0,1,0%,7
马耳他,0,1,0%,7
开曼群岛,0,1,0%,8
圭亚那,0,1,0%,9
斯威士兰,0,1,0%,9
伯利兹,0,1,0%,10
美属维尔京群岛,0,1,0%,11
赞比亚,0,1,0%,11
莫桑比克,0,1,0%,12
刚果 - 布拉柴维尔,0,1,0%,15
