日期,点击次数,展示,点击率,排名
2026-02-11,0,0,,
2026-02-12,1,2,50%,1
2026-02-13,1,67,1.49%,8.8
2026-02-14,2,368,0.54%,13.3
2026-02-15,3,444,0.68%,10.2
2026-02-16,10,976,1.02%,8.9
2026-02-17,7,905,0.77%,11.6
2026-02-18,16,892,1.79%,9
2026-02-19,4,927,0.43%,9.4
2026-02-20,7,783,0.89%,8.9
2026-02-21,5,935,0.53%,8.5
2026-02-22,8,754,1.06%,7.6
2026-02-23,9,755,1.19%,8.4
2026-02-24,13,738,1.76%,8.5
2026-02-25,11,698,1.58%,8.1
2026-02-26,4,674,0.59%,8.8
2026-02-27,8,699,1.14%,8.6
2026-02-28,9,656,1.37%,7
2026-03-01,4,745,0.54%,7.4
2026-03-02,7,607,1.15%,7.5
2026-03-03,3,742,0.4%,7.3
2026-03-04,6,515,1.17%,9
2026-03-05,8,466,1.72%,9.7
2026-03-06,4,492,0.81%,10.9
2026-03-07,6,446,1.35%,10.5
2026-03-08,3,463,0.65%,10
2026-03-09,5,467,1.07%,14.3
2026-03-10,5,507,0.99%,13.9
2026-03-11,9,422,2.13%,11.1
2026-03-12,8,412,1.94%,12
2026-03-13,3,390,0.77%,13.1
2026-03-14,5,358,1.4%,11.2
2026-03-15,5,378,1.32%,10.3
2026-03-16,6,337,1.78%,10.5
2026-03-17,4,328,1.22%,11.1
2026-03-18,5,294,1.7%,13.3
2026-03-19,6,332,1.81%,12.7
2026-03-20,2,316,0.63%,19.1
2026-03-21,2,300,0.67%,17.1
2026-03-22,7,342,2.05%,15
2026-03-23,5,305,1.64%,15.5
2026-03-24,4,424,0.94%,11.6
2026-03-25,6,395,1.52%,13.7
2026-03-26,9,497,1.81%,10.7
2026-03-27,3,461,0.65%,12
2026-03-28,1,471,0.21%,11.6
2026-03-29,7,419,1.67%,11.2
2026-03-30,6,459,1.31%,9.9
2026-03-31,4,388,1.03%,11.1
2026-04-01,1,291,0.34%,13.1
2026-04-02,1,329,0.3%,17.4
2026-04-03,2,296,0.68%,12.2
2026-04-04,6,329,1.82%,13.2
2026-04-05,3,279,1.08%,10.8
2026-04-06,4,223,1.79%,15.4
2026-04-07,2,227,0.88%,13.6
2026-04-08,3,255,1.18%,12.2
2026-04-09,2,191,1.05%,18.2
2026-04-10,3,202,1.49%,14.9
2026-04-11,3,302,0.99%,12.7
2026-04-12,2,243,0.82%,17.3
2026-04-13,2,279,0.72%,16.7
2026-04-14,4,191,2.09%,21.3
2026-04-15,1,242,0.41%,16.4
2026-04-16,3,202,1.49%,22.3
2026-04-17,2,190,1.05%,15.3
2026-04-18,1,140,0.71%,16.5
2026-04-19,5,173,2.89%,13.2
2026-04-20,3,176,1.7%,12.2
2026-04-21,2,153,1.31%,14
2026-04-22,2,203,0.99%,11.5
2026-04-23,2,138,1.45%,10.4
2026-04-24,1,201,0.5%,13.8
2026-04-25,2,159,1.26%,9.5
2026-04-26,1,143,0.7%,8.5
2026-04-27,2,169,1.18%,10.6
2026-04-28,4,186,2.15%,11.9
2026-04-29,1,178,0.56%,16.8
2026-04-30,4,116,3.45%,18.4
2026-05-01,0,191,0%,10.9
2026-05-02,1,187,0.53%,20.2
2026-05-03,1,194,0.52%,14.4
2026-05-04,2,191,1.05%,18.4
